incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
4 400 ,2 ,56 ,0.03 
4 500 ,2 ,57 ,0.03 
4 600 ,2 ,58 ,0.03 
9 400 ,890 ,52 ,4.9 
9 400 ,1 100 ,54 ,6 
9 200 ,1 200 ,54 ,7 
9 200 ,1 300 ,55 ,8.1 
9 100 ,1 500 ,57 ,9.2 
9 100 ,1 600 ,58 ,10 
9 000 ,1 700 ,60 ,11 
8 900 ,2 100 ,61 ,15 
8 800 ,2 500 ,62 ,17 
8 700 ,2 700 ,63 ,20 
8 600 ,2 900 ,64 ,21 
8 500 ,3 000 ,65 ,23 
8 400 ,3 200 ,66 ,25 
8 300 ,3 400 ,67 ,28 
8 200 ,3 600 ,69 ,31 
8 200 ,3 900 ,70 ,33 
14 000 ,1 900 ,122 ,17 
14 000 ,1 800 ,126 ,17 
13 000 ,2 000 ,128 ,19 
13 000 ,2 500 ,133 ,25 
14 000 ,2 900 ,138 ,30 
14 000 ,3 100 ,144 ,33 
14 000 ,3 400 ,152 ,37 
14 000 ,3 600 ,160 ,41 
14 000 ,3 900 ,169 ,46 
15 000 ,4 300 ,181 ,52 
15 000 ,4 700 ,195 ,59 
16 000 ,5 100 ,211 ,67 
17 000 ,5 600 ,230 ,75 
18 000 ,6 100 ,250 ,85 
19 000 ,6 500 ,270 ,94 
20 000 ,6 900 ,290 ,102 
36 000 ,8 500 ,159 ,38 
36 000 ,8 800 ,165 ,40 
37 000 ,9 100 ,170 ,42 
37 000 ,9 800 ,178 ,47 
38 000 ,9 900 ,186 ,48 
39 000 ,10 000 ,196 ,51 
41 000 ,11 000 ,207 ,58 
42 000 ,13 000 ,219 ,66 
44 000 ,14 000 ,233 ,72 
46 000 ,15 000 ,249 ,79 
48 000 ,16 000 ,267 ,86 
51 000 ,17 000 ,288 ,95 
54 000 ,18 000 ,309 ,104 
57 000 ,19 000 ,330 ,113 
59 000 ,21 000 ,350 ,122 
